#{"t_start": 1626984388.574869, "env_id": null}
r,l,t
-24.60433,99,135.386137
-24.61423,99,135.805602
-24.607647,99,136.225599
-39.73587,99,136.770058
-39.964977,99,137.174688
-37.588524,99,137.573867
-38.620396,99,137.972561
-39.313805,99,138.420542
-23.352161,94,138.838547
-24.60928,99,139.260068
-24.604332,99,139.679919
-24.61423,99,140.095392
-24.575314,99,140.517739
-42.886105,99,141.039664
-41.787403,99,141.438893
-37.192554,99,141.838862
-36.461964,99,142.356429
-41.478424,99,142.756246
-23.364313,94,143.175934
-24.61423,99,143.596831
-24.61423,99,144.012832
-24.60928,99,144.432686
-24.600443,99,144.868086
-37.480885,99,145.412121
-40.68186,99,145.811106
-44.12343,99,146.360401
-38.223907,99,146.760439
-36.66811,99,147.159723
-23.365948,94,147.577661
-24.61423,99,147.998403
-24.61423,99,148.417201
-24.560104,99,148.839473
-24.600443,99,149.256473
-39.01846,99,149.683475
-33.855816,99,150.226652
-43.083885,99,150.628474
-39.093628,99,151.028503
-37.71404,99,151.429171
-23.344141,94,152.060966
-24.61423,99,152.485644
-24.61423,99,152.906337
-24.565052,99,153.332934
-24.604332,99,153.756912
-38.250988,99,154.216616
-43.324722,99,154.614262
-35.562363,99,155.017659
-37.80044,99,155.416508
-37.79295,99,155.834665
-23.365946,94,156.250713
-24.580933,99,156.662243
-24.61423,99,157.078634
-24.609282,99,157.499284
-24.604332,99,157.916594
-37.23422,99,158.459106
-35.593327,99,158.858022
-36.43504,99,159.258252
-36.74643,99,159.816898
-37.043816,99,160.215897
-23.365948,94,160.63145
-24.61423,99,161.052471
-24.61423,99,161.475986
-24.61423,99,161.895525
-24.595495,99,162.312709
-41.151234,99,162.859769
-42.53544,99,163.25765
-42.086246,99,163.728673
-38.08832,99,164.129248
-38.539097,99,164.532284
-23.370895,94,164.951528
-24.604332,99,165.37069
-24.520275,99,165.788184
-24.61423,99,166.200462
-24.609282,99,166.617352
-36.25843,99,167.148449
-41.856014,99,167.685058
-39.297386,99,168.083426
-38.364975,99,168.48146
-37.03355,99,168.878422
-23.365948,94,169.431537
-24.609282,99,169.850351
-24.595493,99,170.265374
-24.583334,99,170.680764
-24.565525,99,171.094677
-36.74963,99,172.181787
-44.01153,99,172.587136
-38.798866,99,172.987062
-39.296623,99,173.385488
-42.324734,99,173.9103
-23.3621,94,174.327907
-24.609282,99,174.752472
-24.61423,99,175.170196
-24.604332,99,175.59086
-24.610384,99,176.009956
-42.02982,99,176.560429
-39.42983,99,176.958285
-35.58795,99,177.358444
-39.84046,99,177.894435
-38.390274,99,178.288395
-23.337078,94,178.703775
-24.609282,99,179.122032
-24.609282,99,179.537812
-24.604263,99,179.953497
-24.578384,99,180.372855
-39.64991,99,180.801877
-41.153458,99,181.20265
-37.89125,99,181.632458
-39.700825,99,182.033201
-37.424774,99,182.425321
-23.365948,94,182.838318
-24.59775,99,183.253659
-24.604332,99,183.674068
-24.583334,99,184.092072
-24.600443,99,184.510743
-37.693897,99,184.947468
-39.769276,99,185.37658
-37.756256,99,185.773249
-35.31747,99,186.173159
-44.63293,99,186.571013
-23.34,94,187.022018
-24.600443,99,187.441518
-24.600487,99,187.855551
-24.596312,99,188.268408
-24.590546,99,188.684655
-35.443417,99,189.240645
-40.40809,99,189.636299
-39.653996,99,190.039297
-41.591545,99,190.440102
-43.941372,99,191.59868
-23.36705,94,192.017882
-24.610384,99,192.436569
-24.602697,99,192.856568
-24.61423,99,193.272386
-24.605896,99,193.695017
-39.016125,99,194.223631
-39.634438,99,194.617357
-37.41941,99,195.01517
-35.318253,99,195.534075
-39.23829,99,195.936073
-23.367512,94,196.35353
-24.546848,99,196.770719
-24.607647,99,197.189924
-24.609282,99,197.59702
-24.583334,99,198.010008
-39.609066,99,198.529083
-36.32188,99,198.929045
-41.2725,99,199.435894
-39.236206,99,199.834388
-41.430614,99,200.234971
-23.34495,94,200.650262
-24.61423,99,201.067879
-24.6027,99,201.485062
-24.556746,99,201.902622
-24.590546,99,202.321627
-40.60621,99,202.779453
-38.237274,99,203.286924
-36.790955,99,203.687121
-41.096893,99,204.088799
-38.074085,99,204.485379
-23.370895,94,205.033784
-24.610384,99,205.454602
-24.607647,99,205.871063
-24.600443,99,206.287679
-24.610846,99,206.70784
-37.929173,99,207.250684
-39.26016,99,207.640867
-40.206844,99,208.03244
-38.11559,99,208.434617
-39.09066,99,208.961372
-23.352161,94,209.379048
-24.551798,99,209.791919
-24.600443,99,210.209141
-24.595495,99,210.622101
-24.534483,99,211.039304
-39.800667,99,211.581378
-40.999546,99,211.979455
-38.54515,99,212.386538
-40.68819,99,212.83079
-40.227375,99,213.229723
-23.364313,94,213.649294
-24.588284,99,214.06998
-24.609282,99,214.4849
-24.600443,99,214.902795
-24.602697,99,215.316479
-39.655865,99,215.756631
-39.463074,99,216.155894
-39.290874,99,216.584213
-41.494953,99,216.985211
-35.088245,99,217.380175
-23.318361,94,217.796369
-24.556746,99,218.217774
-24.61423,99,218.642084
-24.588284,99,219.06589
-24.61423,99,219.489813
-42.940434,99,220.015593
-37.560688,99,220.442009
-36.68757,99,220.836771
-43.070896,99,221.233539
-40.058914,99,221.629122
-23.36705,94,222.108814
-24.560104,99,222.52873
-24.60928,99,222.951224
-24.609282,99,223.370012
-24.583334,99,223.789742
-35.343838,99,224.302444
-38.322685,99,224.701409
-37.130116,99,225.102839
-42.97738,99,225.499331
-44.98243,99,225.995282
-23.318361,94,226.411664
-24.609282,99,226.830049
-24.61423,99,227.251026
-24.598852,99,227.671297
-24.596312,99,228.093464
-39.72501,99,228.597222
-39.431435,99,228.996186
-40.902245,99,229.39819
-39.28313,99,229.924193
-39.34912,99,230.323949
-23.370895,94,230.734989
-24.61423,99,231.158556
-24.60928,99,231.582008
-24.61423,99,231.999635
-24.604332,99,232.416852
-40.791924,99,232.865974
-34.260044,99,233.263255
-38.56857,99,233.698418
-40.910297,99,234.097495
-37.075336,99,234.498303
-23.365948,94,234.917648
-24.561695,99,235.336652
-24.60928,99,235.754108
-24.565523,99,236.174263
-24.61423,99,236.596298
-36.247265,99,237.037113
-39.251038,99,237.575029
-34.44037,99,237.964028
-36.684597,99,238.361403
-41.9816,99,238.751334
-23.370895,94,239.299744
-24.588284,99,239.719913
-24.61423,99,240.136542
-24.607647,99,240.560884
-24.61423,99,240.983923
-38.046906,99,241.415323
-41.828777,99,241.821468
-40.201336,99,242.21715
-36.242462,99,242.613115
-35.109673,99,243.060539
-23.36705,94,243.477167
-24.61423,99,243.887165
-24.609282,99,244.305168
-24.610384,99,244.739163
-24.586414,99,245.158163
-35.165882,99,245.648018
-31.685917,99,246.04029
-37.239395,99,246.440229
-35.184025,99,246.868213
-38.365902,99,247.285213
-23.318361,94,247.703096
-24.561695,99,248.125205
-24.609282,99,248.548573
-24.600443,99,248.971988
-24.556746,99,249.393893
-34.933502,99,249.917949
-42.46215,99,250.32883
-36.711548,99,250.85943
-36.27651,99,251.257528
-34.642994,99,251.656378
-23.365946,94,252.074739
-24.538845,99,252.491982
-24.555155,99,252.913986
-24.610846,99,253.328826
-24.604332,99,253.748491
-39.02809,99,254.273302
-39.069954,99,254.695599
-36.99774,99,255.094647
-42.070324,99,255.493213
-31.546343,99,255.890889
-23.34495,94,256.442924
-24.600443,99,256.864705
-24.610846,99,257.283365
-24.6027,99,257.701142
-24.592802,99,258.117792
-41.128258,99,258.658577
-37.586327,99,259.055512
-38.37045,99,259.459867
-33.591854,99,259.864017
-41.724895,99,260.418942
-23.36705,94,260.836495
-24.604332,99,261.256173
-24.61423,99,261.675414
-24.604332,99,262.093466
-24.609282,99,262.510184
-42.7966,99,262.941918
-40.22065,99,263.343989
-37.263,99,263.74574
-40.970295,99,264.175635
-36.696037,99,264.572006
-23.35711,94,264.99945
-24.561695,99,265.420448
-24.61423,99,265.840446
-24.578384,99,266.261767
